Articardi Juan F,"Br José Batlle y Ordóñez 2213, Pque Batlle Villa Dolores, Montevideo, Montevideo, Uruguay",,,2481 1061,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
Bicicletas Roller,"Av Ocho de Octubre 4005, Union, Montevideo, Montevideo, Uruguay",,,2509 4910,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
Bicicletas Tuttas,"Cerro Largo 1651, Cordon, Montevideo, Montevideo, Uruguay",,,2401 4258,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
Colon Bicicletas,"Garzon 1698, Colon Centro Y Noroeste, Montevideo, Montevideo, Uruguay",,,2320 7976,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
Fesal Srl,"Domingo Aramburú 1758, Villa Muñoz Retiro, Montevideo, Montevideo, Uruguay",,,2200  3715,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
Liber Hector Pellerey Elustondo,"Av Gral Eugenio Garzón 1977, Colon Centro Y Noroeste, Montevideo, Montevideo, Uruguay",,,2321 3346,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
Perdomo Molina Jorge Damian,"Av Gral Rivera 3137, Pque Batlle Villa Dolores, Montevideo, Montevideo, Uruguay",,,2623  2241,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
La Clínica de la Bicicleta y la Pelota,"Maldonado 1701, Palermo, Montevideo, Montevideo, Uruguay",,,24190171,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
Pellerey Elustondo Leber Hector,"Santiago de Compostela 5843 , Colon Centro Y Noroeste, Montevideo, Montevideo, Uruguay",,,23207976,http://paginasamarillas.com.uy/voltprod/sitio/rubro/bicicletas_-_reparacion_y_repuestos/56400/zona/Montevideo/pagina-1
